tag_header,tag_para,tag_formatting,word_count,interacting_span_tag,relative_x_coord,relative_y_coord,relative_listings,relative_hyperlinks,tag_img,src_img_interaction,red_flag_class,tag_table,tag_sup,tag_sup_child,tag_tab_elem,red_flag_id,relative_table_elements,height_width_diff,tag_dl_type,tag_math_type,tag_math_elem,tag_annotation,label,name,attrs
NO,NO,NO,0,NO,0.184336019,0.005747787,nan,nan,NO,NO,NO,NO,NO,NO,NO,NO,nan,17.6000061,NO,NO,NO,NO,0,a,['top']
NO,NO,NO,0,NO,0.184336019,0.006762103,nan,nan,NO,NO,NO,NO,NO,NO,NO,NO,nan,-1041.599976,NO,NO,NO,NO,0,div,"['siteNotice', ['mw-body-content']]"
NO,NO,NO,0,NO,1.139031523,0.006762103,nan,nan,NO,NO,NO,NO,NO,NO,NO,NO,nan,5.599990845,NO,NO,NO,NO,0,div,"[['mw-indicators', 'mw-body-content']]"
YES,NO,NO,1,NO,0.184336019,0.006762103,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-1003.366638,NO,NO,NO,NO,1,h1,"['firstHeading', ['firstHeading'], 'en']"
NO,NO,NO,11238,NO,0.184336019,0.009805049,0.014949279,0.043869016,NO,NO,NO,NO,NO,NO,NO,NO,0,13655.66663,NO,NO,NO,NO,1,div,"['bodyContent', ['mw-body-content']]"
NO,NO,NO,5,NO,0.184336019,0.009805049,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-1020.983307,NO,NO,NO,NO,1,div,"['siteSub', ['noprint']]"
NO,NO,NO,0,NO,0.195341155,0.01122509,nan,nan,NO,NO,NO,NO,NO,NO,NO,NO,nan,-1029.833374,NO,NO,NO,NO,0,div,['contentSub']
NO,NO,NO,0,NO,0.184336019,0.012307027,nan,nan,NO,NO,NO,NO,NO,NO,NO,NO,nan,-1041.599976,NO,NO,NO,NO,0,div,['jump-to-nav']
NO,NO,NO,3,NO,0.183418925,0.012239406,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,0,NO,NO,NO,NO,0,a,"[['mw-jump-link'], '#mw-head']"
NO,NO,NO,3,NO,0.183418925,0.012239406,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,0,NO,NO,NO,NO,0,a,"[['mw-jump-link'], '#p-search']"
NO,NO,NO,11145,NO,0.184336019,0.012307027,0.013010319,0.041812472,NO,NO,NO,NO,NO,NO,NO,NO,0,13548.18323,NO,NO,NO,NO,1,div,"['mw-content-text', 'en', 'ltr', ['mw-content-ltr']]"
NO,NO,NO,11145,NO,0.184336019,0.012307027,0.013010319,0.041812472,NO,NO,NO,NO,NO,NO,NO,NO,0,13548.18323,NO,NO,NO,NO,1,div,[['mw-parser-output']]
NO,NO,NO,1,NO,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,0,NO,NO,NO,NO,0,div,"[['shortdescription', 'nomobile', 'noexcerpt', 'noprint', 'searchaux'], 'display:none']"
NO,NO,NO,20,NO,0.184336019,0.012307027,0,0.15,NO,NO,NO,NO,NO,NO,NO,NO,0,-1019.199982,NO,NO,NO,NO,1,div,"['note', ['hatnote', 'navigation-not-searchable']]"
NO,NO,NO,2,NO,0.724504753,0.012577511,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-84.38334656,NO,NO,NO,NO,1,a,"['/wiki/Google_Penguin', 'Google Penguin']"
NO,NO,NO,2,NO,0.823550972,0.012577511,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-73.4833374,NO,NO,NO,NO,1,a,"['/wiki/Google_Panda', 'Google Panda']"
NO,NO,NO,2,NO,0.9381878,0.012577511,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-116.2833252,NO,NO,NO,NO,1,a,"['/wiki/Google_Hummingbird', 'Google Hummingbird']"
NO,NO,NO,161,NO,0.763939821,0.014809005,0,0.01863354,NO,NO,YES,NO,NO,NO,NO,NO,0,161.9333496,NO,NO,NO,NO,0,div,"[['thumb', 'tright']]"
NO,NO,NO,161,NO,0.763939821,0.014809005,0,0.01863354,NO,NO,YES,NO,NO,NO,NO,NO,0,161.9333496,NO,NO,NO,NO,0,div,"[['thumbinner'], 'width:402px;']"
NO,NO,NO,0,NO,0.7676082,0.02569599,nan,nan,NO,NO,YES,NO,NO,NO,NO,NO,nan,-387.1999817,NO,NO,NO,NO,0,a,"['/wiki/File:PageRanks-Example.jpg', ['image']]"
NO,NO,NO,0,NO,0.7676082,0.015079489,nan,nan,YES,YES,YES,NO,NO,NO,NO,NO,nan,-68.99996948,NO,NO,NO,NO,0,img,"['', '//upload.wikimedia.org/wikipedia/en/thumb/8/8b/PageRanks-Example.jpg/400px-PageRanks-Example.jpg', 'async', '400', '331', ['thumbimage'], '//upload.wikimedia.org/wikipedia/en/thumb/8/8b/PageRanks-Example.jpg/600px-PageRanks-Example.jpg 1.5x, //upload.wikimedia.org/wikipedia/en/thumb/8/8b/PageRanks-Example.jpg/800px-PageRanks-Example.jpg 2x', '2910', '2406']"
NO,NO,NO,161,NO,0.7676082,0.037529669,0,0.01242236,NO,NO,YES,NO,NO,NO,NO,NO,0,-170.6666718,NO,NO,NO,NO,0,div,[['thumbcaption']]
NO,NO,NO,0,NO,1.119772535,0.037732532,nan,nan,NO,NO,NO,NO,NO,NO,NO,NO,nan,-4,NO,NO,NO,NO,0,div,[['magnify']]
NO,NO,NO,0,NO,1.119772535,0.037732532,nan,nan,NO,NO,NO,NO,NO,NO,NO,NO,nan,-4,NO,NO,NO,NO,0,a,"['/wiki/File:PageRanks-Example.jpg', ['internal'], 'Enlarge']"
NO,NO,YES,1,NO,0.84097577,0.037867774,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-53.16667175,NO,NO,NO,NO,0,b,[]
